latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness
-33.75626,146.11668,346.42,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,300.96,5.82,D,346.42
-33.75262,146.116,335.28,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,298.78,5.82,D,335.28
-33.74899,146.11531,346.32,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,301.87,7.25,D,346.32
-33.74535,146.11462,339.45,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,300.01,7.25,D,339.45
-33.74472,146.11964,352.15,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,302.69,17.65,D,352.15
-33.7417,146.11394,346.36,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,300.22,8.17,D,346.36
-33.74109,146.11896,353.57,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,300.57,8.12,D,353.57
-33.74046,146.12401,331.46,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,299.23,8.12,D,331.46
-33.72484,141.98639,355.59,0.49,0.48,2025-09-04,351,N,VIIRS,60,2.0NRT,302.55,17.31,D,355.59
-33.7203,141.98579,356.58,0.49,0.48,2025-09-04,351,N,VIIRS,60,2.0NRT,302.45,17.23,D,356.58
-33.62611,145.39114,330.82,0.49,0.4,2025-09-04,351,N,VIIRS,60,2.0NRT,300.33,3.81,D,330.82
-33.40678,146.33998,330.43,0.45,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,299.67,2.68,D,330.43
-33.32855,148.99469,344.58,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,291.88,11.01,D,344.58
-33.2631,146.01236,341.79,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,302.16,7.65,D,341.79
-33.26241,146.01003,334.82,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,302.28,4.46,D,334.82
-33.17416,146.30775,342.42,0.45,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,300.36,6.03,D,342.42
-33.11566,149.13676,335.53,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,290.57,4.72,D,335.53
-33.05225,146.83731,327.36,0.43,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,297.31,2.79,D,327.36
-32.97692,146.22859,333.68,0.45,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,297.18,8.21,D,333.68
-32.8381,141.91631,332.25,0.48,0.48,2025-09-04,351,N,VIIRS,60,2.0NRT,300.88,1.52,D,332.25
-32.76408,143.79213,334.58,0.57,0.43,2025-09-04,351,N,VIIRS,60,2.0NRT,302.93,3.69,D,334.58
-32.76393,143.79355,331.73,0.57,0.43,2025-09-04,351,N,VIIRS,60,2.0NRT,302.59,3.79,D,331.73
-32.76003,143.79155,332.03,0.57,0.43,2025-09-04,351,N,VIIRS,60,2.0NRT,302.05,3.61,D,332.03
-32.75988,143.79295,334.55,0.57,0.43,2025-09-04,351,N,VIIRS,60,2.0NRT,301.92,3.2,D,334.55
-32.75583,143.79234,336.87,0.57,0.43,2025-09-04,351,N,VIIRS,60,2.0NRT,301.77,3.2,D,336.87
-32.75194,143.79034,332.67,0.57,0.43,2025-09-04,351,N,VIIRS,60,2.0NRT,299.6,5.78,D,332.67
-32.75126,143.79657,333.96,0.57,0.43,2025-09-04,351,N,VIIRS,60,2.0NRT,300.53,5.78,D,333.96
-32.74722,143.79596,333.52,0.57,0.43,2025-09-04,351,N,VIIRS,60,2.0NRT,300.31,5.78,D,333.52
-32.74318,143.79535,330.14,0.57,0.43,2025-09-04,351,N,VIIRS,60,2.0NRT,300.7,3.29,D,330.14
-32.73287,146.6824,345.15,0.43,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,296.18,10.11,D,345.15
-32.73116,146.66789,328.05,0.43,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,295.74,2.97,D,328.05
-32.73055,146.6725,341.02,0.43,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,295.77,2.97,D,341.02
-32.7235,146.67123,333.41,0.43,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,294.41,3.58,D,333.41
-32.70713,149.02441,329.11,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,292.75,1.77,D,329.11
-32.66378,146.79716,328.88,0.43,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,295.34,4.15,D,328.88
-32.65973,146.96442,337.39,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,288.01,11.73,D,337.39
-32.65913,146.96892,331.8,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,282.11,11.73,D,331.8
-32.65623,146.96378,353.84,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,287.71,11.73,D,353.84
-32.65334,146.95862,340.52,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,278.3,10.97,D,340.52
-32.65274,146.96315,345.32,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,288.16,54.22,D,345.32
-32.65265,146.79984,344.09,0.43,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,294.79,7.24,D,344.09
-32.64207,147.01671,331.43,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,283.29,3.18,D,331.43
-32.47133,147.32822,333.26,0.41,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,301.73,3.19,D,333.26
-32.43228,148.50386,326.45,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,292.77,1.46,D,326.45
-32.42892,148.50316,326.82,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,290.27,1.46,D,326.82
-32.42832,148.50732,335.4,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,292.63,5.53,D,335.4
-32.06672,151.8205,342.08,0.42,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,276.62,4.48,D,342.08
-32.05048,147.46346,332.8,0.4,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,291.77,2.09,D,332.8
-32.04705,147.46281,332.64,0.4,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,292.62,2.96,D,332.64
-32.0237,152.11176,330.46,0.43,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,293.77,2.15,D,330.46
-32.02344,152.1131,340.55,0.43,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,292.47,3.46,D,340.55
-31.99842,152.06917,327.53,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,290.03,2.57,D,327.53
-31.99113,146.73611,342.9,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,303.34,3.56,D,342.9
