id,text,cluster,cluster_size
46,"Fire detection: Lat=-33.745, Lon=146.115, Brightness=339.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
47,"Fire detection: Lat=-33.745, Lon=146.120, Brightness=352.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
48,"Fire detection: Lat=-33.742, Lon=146.114, Brightness=346.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
49,"Fire detection: Lat=-33.741, Lon=146.119, Brightness=353.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
50,"Fire detection: Lat=-33.740, Lon=146.124, Brightness=331.5, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
51,"Fire detection: Lat=-33.725, Lon=141.986, Brightness=355.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
52,"Fire detection: Lat=-33.720, Lon=141.986, Brightness=356.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
53,"Fire detection: Lat=-33.626, Lon=145.391, Brightness=330.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
54,"Fire detection: Lat=-33.407, Lon=146.340, Brightness=330.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
55,"Fire detection: Lat=-33.329, Lon=148.995, Brightness=344.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
56,"Fire detection: Lat=-33.263, Lon=146.012, Brightness=341.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
57,"Fire detection: Lat=-33.262, Lon=146.010, Brightness=334.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
58,"Fire detection: Lat=-33.174, Lon=146.308, Brightness=342.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
59,"Fire detection: Lat=-33.116, Lon=149.137, Brightness=335.5, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",4,1714
60,"Fire detection: Lat=-33.052, Lon=146.837, Brightness=327.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
61,"Fire detection: Lat=-32.977, Lon=146.229, Brightness=333.7, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
62,"Fire detection: Lat=-32.838, Lon=141.916, Brightness=332.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
63,"Fire detection: Lat=-32.764, Lon=143.792, Brightness=334.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
64,"Fire detection: Lat=-32.764, Lon=143.794, Brightness=331.7, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
65,"Fire detection: Lat=-32.760, Lon=143.792, Brightness=332.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
66,"Fire detection: Lat=-32.760, Lon=143.793, Brightness=334.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
67,"Fire detection: Lat=-32.756, Lon=143.792, Brightness=336.9, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
68,"Fire detection: Lat=-32.752, Lon=143.790, Brightness=332.7, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
69,"Fire detection: Lat=-32.751, Lon=143.797, Brightness=334.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
70,"Fire detection: Lat=-32.747, Lon=143.796, Brightness=333.5, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
71,"Fire detection: Lat=-32.743, Lon=143.795, Brightness=330.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
72,"Fire detection: Lat=-32.733, Lon=146.682, Brightness=345.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
73,"Fire detection: Lat=-32.731, Lon=146.668, Brightness=328.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
74,"Fire detection: Lat=-32.731, Lon=146.673, Brightness=341.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
75,"Fire detection: Lat=-32.724, Lon=146.671, Brightness=333.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
76,"Fire detection: Lat=-32.707, Lon=149.024, Brightness=329.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
77,"Fire detection: Lat=-32.664, Lon=146.797, Brightness=328.9, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
78,"Fire detection: Lat=-32.660, Lon=146.964, Brightness=337.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
79,"Fire detection: Lat=-32.659, Lon=146.969, Brightness=331.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
80,"Fire detection: Lat=-32.656, Lon=146.964, Brightness=353.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
81,"Fire detection: Lat=-32.653, Lon=146.959, Brightness=340.5, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
82,"Fire detection: Lat=-32.653, Lon=146.963, Brightness=345.3, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
83,"Fire detection: Lat=-32.653, Lon=146.800, Brightness=344.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
84,"Fire detection: Lat=-32.642, Lon=147.017, Brightness=331.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
85,"Fire detection: Lat=-32.471, Lon=147.328, Brightness=333.3, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
86,"Fire detection: Lat=-32.432, Lon=148.504, Brightness=326.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
