id,text,cluster,cluster_size
4257,"Fire detection: Lat=-14.253, Lon=129.662, Brightness=322.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",4,1714
4258,"Fire detection: Lat=-14.253, Lon=129.731, Brightness=315.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",4,1714
4259,"Fire detection: Lat=-14.252, Lon=129.658, Brightness=315.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4260,"Fire detection: Lat=-14.252, Lon=129.727, Brightness=304.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4261,"Fire detection: Lat=-14.252, Lon=129.750, Brightness=312.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4262,"Fire detection: Lat=-14.252, Lon=129.677, Brightness=311.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4263,"Fire detection: Lat=-14.252, Lon=129.747, Brightness=299.3, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4264,"Fire detection: Lat=-14.251, Lon=129.670, Brightness=303.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4265,"Fire detection: Lat=-14.250, Lon=129.662, Brightness=310.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4266,"Fire detection: Lat=-14.249, Lon=129.681, Brightness=302.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4267,"Fire detection: Lat=-14.248, Lon=129.678, Brightness=303.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4268,"Fire detection: Lat=-14.247, Lon=129.759, Brightness=303.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4269,"Fire detection: Lat=-14.246, Lon=129.663, Brightness=299.5, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4270,"Fire detection: Lat=-14.246, Lon=129.682, Brightness=307.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4271,"Fire detection: Lat=-14.244, Lon=129.763, Brightness=306.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4272,"Fire detection: Lat=-14.243, Lon=129.667, Brightness=315.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4273,"Fire detection: Lat=-14.243, Lon=129.713, Brightness=335.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4274,"Fire detection: Lat=-14.243, Lon=129.760, Brightness=298.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4275,"Fire detection: Lat=-14.243, Lon=129.709, Brightness=310.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4276,"Fire detection: Lat=-14.242, Lon=129.683, Brightness=300.5, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4277,"Fire detection: Lat=-14.242, Lon=129.679, Brightness=300.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4278,"Fire detection: Lat=-14.241, Lon=129.675, Brightness=301.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4279,"Fire detection: Lat=-14.240, Lon=129.764, Brightness=305.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4280,"Fire detection: Lat=-14.240, Lon=129.668, Brightness=325.5, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4281,"Fire detection: Lat=-14.240, Lon=129.714, Brightness=331.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4282,"Fire detection: Lat=-14.239, Lon=129.710, Brightness=353.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4283,"Fire detection: Lat=-14.239, Lon=129.706, Brightness=330.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4284,"Fire detection: Lat=-14.238, Lon=129.679, Brightness=304.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4285,"Fire detection: Lat=-14.238, Lon=129.702, Brightness=308.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4286,"Fire detection: Lat=-14.238, Lon=129.676, Brightness=301.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4287,"Fire detection: Lat=-14.237, Lon=129.672, Brightness=314.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4288,"Fire detection: Lat=-14.235, Lon=129.707, Brightness=313.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4289,"Fire detection: Lat=-14.235, Lon=129.703, Brightness=349.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4290,"Fire detection: Lat=-14.234, Lon=129.699, Brightness=345.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4291,"Fire detection: Lat=-14.231, Lon=129.700, Brightness=348.5, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4292,"Fire detection: Lat=-14.230, Lon=129.696, Brightness=340.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4293,"Fire detection: Lat=-14.227, Lon=129.700, Brightness=300.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4294,"Fire detection: Lat=-14.227, Lon=129.697, Brightness=329.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",1,3468
4295,"Fire detection: Lat=-14.223, Lon=129.697, Brightness=300.5, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4296,"Fire detection: Lat=-14.216, Lon=129.694, Brightness=312.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4297,"Fire detection: Lat=-14.214, Lon=129.771, Brightness=301.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4298,"Fire detection: Lat=-14.213, Lon=129.694, Brightness=322.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4299,"Fire detection: Lat=-14.210, Lon=129.695, Brightness=307.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4300,"Fire detection: Lat=-14.209, Lon=129.780, Brightness=298.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4301,"Fire detection: Lat=-14.193, Lon=129.701, Brightness=298.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4302,"Fire detection: Lat=-14.193, Lon=129.697, Brightness=323.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4303,"Fire detection: Lat=-14.187, Lon=129.710, Brightness=302.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4304,"Fire detection: Lat=-14.060, Lon=129.653, Brightness=300.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4305,"Fire detection: Lat=-14.059, Lon=129.646, Brightness=301.3, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4306,"Fire detection: Lat=-14.056, Lon=129.646, Brightness=324.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4307,"Fire detection: Lat=-13.990, Lon=130.435, Brightness=308.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4308,"Fire detection: Lat=-13.979, Lon=130.429, Brightness=302.3, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4309,"Fire detection: Lat=-13.832, Lon=131.045, Brightness=317.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4310,"Fire detection: Lat=-13.831, Lon=131.041, Brightness=316.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4311,"Fire detection: Lat=-13.828, Lon=131.045, Brightness=300.5, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4312,"Fire detection: Lat=-13.702, Lon=131.118, Brightness=299.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4313,"Fire detection: Lat=-13.699, Lon=131.118, Brightness=305.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",4,1714
4314,"Fire detection: Lat=-13.267, Lon=132.411, Brightness=315.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4315,"Fire detection: Lat=-13.259, Lon=132.383, Brightness=305.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4316,"Fire detection: Lat=-13.256, Lon=132.306, Brightness=310.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4317,"Fire detection: Lat=-13.255, Lon=132.383, Brightness=302.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4318,"Fire detection: Lat=-13.252, Lon=132.307, Brightness=307.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4319,"Fire detection: Lat=-13.251, Lon=132.384, Brightness=302.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4320,"Fire detection: Lat=-13.248, Lon=132.307, Brightness=308.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4321,"Fire detection: Lat=-13.246, Lon=132.429, Brightness=321.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4322,"Fire detection: Lat=-13.245, Lon=132.308, Brightness=307.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4323,"Fire detection: Lat=-13.242, Lon=132.429, Brightness=306.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4324,"Fire detection: Lat=-13.241, Lon=132.308, Brightness=307.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4325,"Fire detection: Lat=-13.217, Lon=132.302, Brightness=314.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4326,"Fire detection: Lat=-13.216, Lon=132.298, Brightness=303.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4327,"Fire detection: Lat=-13.177, Lon=132.239, Brightness=301.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4328,"Fire detection: Lat=-12.937, Lon=142.416, Brightness=300.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4329,"Fire detection: Lat=-12.742, Lon=130.429, Brightness=307.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4330,"Fire detection: Lat=-12.718, Lon=132.363, Brightness=307.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4331,"Fire detection: Lat=-12.717, Lon=132.359, Brightness=302.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4332,"Fire detection: Lat=-12.714, Lon=132.364, Brightness=303.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4333,"Fire detection: Lat=-12.712, Lon=132.379, Brightness=304.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4334,"Fire detection: Lat=-12.709, Lon=132.327, Brightness=305.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4335,"Fire detection: Lat=-12.705, Lon=132.384, Brightness=302.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4336,"Fire detection: Lat=-12.705, Lon=132.327, Brightness=303.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4337,"Fire detection: Lat=-12.704, Lon=132.323, Brightness=311.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4338,"Fire detection: Lat=-12.697, Lon=132.381, Brightness=303.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4339,"Fire detection: Lat=-12.692, Lon=132.315, Brightness=301.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4340,"Fire detection: Lat=-12.649, Lon=131.938, Brightness=306.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4341,"Fire detection: Lat=-12.646, Lon=131.938, Brightness=306.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4342,"Fire detection: Lat=-12.643, Lon=131.943, Brightness=310.3, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4343,"Fire detection: Lat=-12.641, Lon=131.934, Brightness=303.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4344,"Fire detection: Lat=-12.636, Lon=131.949, Brightness=310.3, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",1,3468
4345,"Fire detection: Lat=-12.632, Lon=131.949, Brightness=331.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4346,"Fire detection: Lat=-12.632, Lon=131.945, Brightness=308.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4347,"Fire detection: Lat=-12.629, Lon=132.332, Brightness=302.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4348,"Fire detection: Lat=-12.628, Lon=131.945, Brightness=321.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4349,"Fire detection: Lat=-12.611, Lon=132.316, Brightness=303.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4350,"Fire detection: Lat=-12.602, Lon=132.355, Brightness=306.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4351,"Fire detection: Lat=-12.597, Lon=131.953, Brightness=328.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4352,"Fire detection: Lat=-12.593, Lon=131.953, Brightness=313.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",1,3468
4353,"Fire detection: Lat=-12.534, Lon=131.500, Brightness=306.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4354,"Fire detection: Lat=-12.530, Lon=131.501, Brightness=316.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",4,1714
4355,"Fire detection: Lat=-12.527, Lon=131.501, Brightness=321.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",4,1714
4356,"Fire detection: Lat=-12.523, Lon=131.502, Brightness=321.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4357,"Fire detection: Lat=-12.520, Lon=131.502, Brightness=311.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4358,"Fire detection: Lat=-12.497, Lon=133.088, Brightness=312.3, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4359,"Fire detection: Lat=-12.477, Lon=130.954, Brightness=314.5, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4360,"Fire detection: Lat=-12.424, Lon=134.451, Brightness=301.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4361,"Fire detection: Lat=-12.420, Lon=134.451, Brightness=302.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4362,"Fire detection: Lat=-12.321, Lon=131.260, Brightness=301.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4363,"Fire detection: Lat=-12.314, Lon=131.261, Brightness=306.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",4,1714
4364,"Fire detection: Lat=-12.310, Lon=131.262, Brightness=329.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4365,"Fire detection: Lat=-12.300, Lon=131.193, Brightness=309.5, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4366,"Fire detection: Lat=-12.297, Lon=131.193, Brightness=313.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4367,"Fire detection: Lat=-12.292, Lon=131.190, Brightness=307.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4368,"Fire detection: Lat=-12.288, Lon=131.186, Brightness=303.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4369,"Fire detection: Lat=-12.288, Lon=131.182, Brightness=302.3, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4370,"Fire detection: Lat=-12.261, Lon=134.177, Brightness=304.5, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4371,"Fire detection: Lat=-11.810, Lon=130.509, Brightness=318.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4372,"Fire detection: Lat=-11.807, Lon=130.513, Brightness=312.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4373,"Fire detection: Lat=-11.803, Lon=130.514, Brightness=305.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4374,"Fire detection: Lat=-11.803, Lon=130.510, Brightness=310.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4375,"Fire detection: Lat=-11.795, Lon=130.554, Brightness=304.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4376,"Fire detection: Lat=-11.744, Lon=130.530, Brightness=308.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4377,"Fire detection: Lat=-11.742, Lon=130.476, Brightness=306.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4378,"Fire detection: Lat=-11.735, Lon=130.543, Brightness=307.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4379,"Fire detection: Lat=-11.712, Lon=130.531, Brightness=305.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",1,3468
4380,"Fire detection: Lat=-11.709, Lon=130.531, Brightness=313.3, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4381,"Fire detection: Lat=-11.701, Lon=130.529, Brightness=319.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4382,"Fire detection: Lat=-11.698, Lon=130.487, Brightness=302.3, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4383,"Fire detection: Lat=-11.698, Lon=130.529, Brightness=309.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",1,3468
4384,"Fire detection: Lat=-11.697, Lon=130.526, Brightness=304.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4385,"Fire detection: Lat=-11.697, Lon=130.522, Brightness=312.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4386,"Fire detection: Lat=-11.696, Lon=130.518, Brightness=311.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4387,"Fire detection: Lat=-11.494, Lon=130.375, Brightness=321.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4388,"Fire detection: Lat=-11.493, Lon=130.372, Brightness=306.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4389,"Fire detection: Lat=-11.490, Lon=130.372, Brightness=306.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4390,"Fire detection: Lat=-11.446, Lon=132.613, Brightness=303.5, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4391,"Fire detection: Lat=-11.443, Lon=132.613, Brightness=311.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4392,"Fire detection: Lat=-11.439, Lon=132.614, Brightness=313.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4393,"Fire detection: Lat=-11.435, Lon=132.614, Brightness=302.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4394,"Fire detection: Lat=-11.431, Lon=132.615, Brightness=306.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4395,"Fire detection: Lat=-11.428, Lon=132.592, Brightness=312.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4396,"Fire detection: Lat=-11.427, Lon=132.611, Brightness=307.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4397,"Fire detection: Lat=-11.425, Lon=132.602, Brightness=314.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4398,"Fire detection: Lat=-11.425, Lon=132.597, Brightness=304.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4399,"Fire detection: Lat=-11.424, Lon=132.592, Brightness=304.3, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4400,"Fire detection: Lat=-11.423, Lon=132.588, Brightness=311.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4401,"Fire detection: Lat=-11.423, Lon=132.611, Brightness=329.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4402,"Fire detection: Lat=-11.422, Lon=132.607, Brightness=310.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4403,"Fire detection: Lat=-11.262, Lon=131.976, Brightness=305.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",1,3468
4404,"Fire detection: Lat=-11.261, Lon=131.971, Brightness=302.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",4,1714
4405,"Fire detection: Lat=-11.258, Lon=131.972, Brightness=309.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",4,1714
4406,"Fire detection: Lat=-11.162, Lon=132.183, Brightness=306.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4407,"Fire detection: Lat=-11.157, Lon=132.179, Brightness=312.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4408,"Fire detection: Lat=-10.101, Lon=120.718, Brightness=318.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4409,"Fire detection: Lat=-10.100, Lon=120.718, Brightness=320.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4410,"Fire detection: Lat=-10.096, Lon=120.719, Brightness=300.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4411,"Fire detection: Lat=-10.095, Lon=120.719, Brightness=306.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4412,"Fire detection: Lat=-10.091, Lon=120.720, Brightness=310.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4413,"Fire detection: Lat=-10.090, Lon=120.720, Brightness=304.3, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4414,"Fire detection: Lat=-9.963, Lon=120.191, Brightness=327.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4415,"Fire detection: Lat=-9.963, Lon=120.188, Brightness=303.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4416,"Fire detection: Lat=-9.941, Lon=120.276, Brightness=303.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4417,"Fire detection: Lat=-9.936, Lon=120.277, Brightness=300.3, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4418,"Fire detection: Lat=-9.854, Lon=123.838, Brightness=304.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4419,"Fire detection: Lat=-9.850, Lon=123.789, Brightness=311.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4420,"Fire detection: Lat=-9.703, Lon=119.122, Brightness=302.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4421,"Fire detection: Lat=-9.690, Lon=120.375, Brightness=307.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4422,"Fire detection: Lat=-9.684, Lon=120.376, Brightness=303.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4423,"Fire detection: Lat=-9.656, Lon=120.223, Brightness=314.3, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4424,"Fire detection: Lat=-9.447, Lon=124.132, Brightness=299.8, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4425,"Fire detection: Lat=-9.037, Lon=125.186, Brightness=303.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4426,"Fire detection: Lat=-8.996, Lon=125.564, Brightness=319.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4427,"Fire detection: Lat=-8.894, Lon=116.734, Brightness=303.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4428,"Fire detection: Lat=-8.849, Lon=125.791, Brightness=304.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4429,"Fire detection: Lat=-8.804, Lon=125.894, Brightness=297.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4430,"Fire detection: Lat=-8.800, Lon=125.894, Brightness=313.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4431,"Fire detection: Lat=-8.750, Lon=125.711, Brightness=304.3, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4432,"Fire detection: Lat=-8.743, Lon=125.760, Brightness=300.7, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4433,"Fire detection: Lat=-8.741, Lon=125.834, Brightness=305.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4434,"Fire detection: Lat=-8.740, Lon=117.778, Brightness=303.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4435,"Fire detection: Lat=-8.688, Lon=125.898, Brightness=300.5, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4436,"Fire detection: Lat=-8.679, Lon=126.383, Brightness=298.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4437,"Fire detection: Lat=-8.676, Lon=125.735, Brightness=300.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4438,"Fire detection: Lat=-8.661, Lon=125.778, Brightness=299.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4439,"Fire detection: Lat=-8.653, Lon=125.774, Brightness=303.5, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4440,"Fire detection: Lat=-8.649, Lon=125.978, Brightness=300.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4441,"Fire detection: Lat=-8.645, Lon=125.544, Brightness=309.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4442,"Fire detection: Lat=-8.644, Lon=125.539, Brightness=308.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4443,"Fire detection: Lat=-8.640, Lon=126.281, Brightness=305.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4444,"Fire detection: Lat=-8.640, Lon=125.540, Brightness=305.6, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4445,"Fire detection: Lat=-8.625, Lon=125.495, Brightness=299.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4446,"Fire detection: Lat=-8.619, Lon=125.505, Brightness=311.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4447,"Fire detection: Lat=-8.613, Lon=125.518, Brightness=316.9, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4448,"Fire detection: Lat=-8.610, Lon=125.519, Brightness=318.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4449,"Fire detection: Lat=-8.607, Lon=125.944, Brightness=306.2, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4450,"Fire detection: Lat=-8.566, Lon=126.267, Brightness=304.1, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
4451,"Fire detection: Lat=-8.436, Lon=121.103, Brightness=312.0, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",0,2435
4452,"Fire detection: Lat=-8.435, Lon=121.103, Brightness=309.4, Confidence=60.0%, Date=2025-09-04 1645, Satellite=N",3,2051
